user_id,date,did_bet,n_bets,deposit_amount,ngr,is_synthetic_control
u_10000,2025-01-01,True,4,0.0,1.61,False
u_10000,2025-01-02,False,0,0.0,0.0,False
u_10000,2025-01-03,False,0,0.0,0.0,False
u_10000,2025-01-04,True,3,0.0,1.49,False
u_10000,2025-01-05,True,1,0.0,4.67,False
u_10000,2025-01-06,False,0,0.0,0.0,False
u_10000,2025-01-07,False,0,0.0,0.0,False
u_10000,2025-01-08,True,1,0.0,0.5,False
u_10000,2025-01-09,False,0,213.81,0.0,False
u_10000,2025-01-10,False,0,0.0,0.0,False
u_10000,2025-01-11,False,0,0.0,0.0,False
u_10000,2025-01-12,False,0,0.0,0.0,False
u_10000,2025-01-13,True,2,0.0,1.83,False
u_10000,2025-01-14,True,5,0.0,2.96,False
u_10000,2025-01-15,True,2,0.0,0.93,False
u_10000,2025-01-16,True,5,0.0,0.8,False
u_10000,2025-01-17,False,0,60.12,0.0,False
u_10000,2025-01-18,False,0,206.84,0.0,False
u_10000,2025-01-19,False,0,0.0,0.0,False
u_10000,2025-01-20,False,0,0.0,0.0,False
u_10000,2025-01-21,False,0,0.0,0.0,False
u_10000,2025-01-22,False,0,32.72,0.0,False
u_10000,2025-01-23,True,2,0.0,1.24,False
u_10000,2025-01-24,True,2,0.0,1.2,False
u_10000,2025-01-25,True,1,0.0,0.36,False
u_10000,2025-01-26,False,0,167.43,0.0,False
u_10000,2025-01-27,False,0,0.0,0.0,False
u_10000,2025-01-28,False,0,0.0,0.0,False
u_10000,2025-01-29,True,4,11.5,3.14,False
u_10000,2025-01-30,True,0,0.0,2.08,False
u_10000,2025-01-31,False,0,0.0,0.0,False
u_10000,2025-02-01,False,0,0.0,0.0,False
u_10000,2025-02-02,True,1,0.0,2.98,False
u_10000,2025-02-03,False,0,0.0,-0.0,False
u_10000,2025-02-04,True,2,0.0,1.54,False
u_10000,2025-02-05,False,0,0.0,-0.0,False
u_10000,2025-02-06,False,0,0.0,0.0,False
u_10000,2025-02-07,False,0,0.0,0.0,False
u_10000,2025-02-08,False,0,0.0,0.0,False
u_10000,2025-02-09,True,4,0.0,3.47,False
